url,sitemap,robots,meta_title_count,meta_description_count,meta_keywords_count,meta_robots,h1,h2,h3,h4,h5,h6,open_graph,canonical,favicon,google_search_console_connected,jumlah_kata,performance,accessibility,best_practices,seo,structure,accessibility_log,jumlah_kata_log,seo_sqrt,h5_boxcox
https://www.esdm.go.id,1.0,1.0,4.0,1.0,3.0,0,0.0,0.0,9.0,17.0,7.379032258064516,0.0,1,1.0,1.0,1.0,1285.0,32.484375,79.234375,78.5,89.328125,56.0,4.384952039002987,7.1592919047975645,9.451355722857965,1.1678455571486808
https://www.gramedia.com/,1.0,1.0,5.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1.0,1.0,6.0,22.0,75.0,79.0,92.0,79.0,4.330733340286331,1.9459101490553132,9.591663046625438,0.0
https://www.ipb.ac.id,1.0,1.0,1.0,1.0,1.0,1,0.0,4.0,7.0,16.0,0.0,6.0,1,1.0,1.0,1.0,850.0,14.568359375,87.0,54.0,85.3203125,54.0,4.477336814478207,6.7464121285733745,9.236899506869175,0.0
https://www.itb.ac.id,0.0,1.0,2.0,1.0,11.0,0,1.0,6.0,32.0,8.0,0.0,0.0,1,1.0,1.0,1.0,614.0,32.484375,79.234375,78.5,89.328125,86.0,4.384952039002987,6.421622267806518,9.451355722857965,0.0
https://www.its.ac.id,1.0,1.0,6.0,3.0,5.0,1,1.0,3.0,13.0,6.0,7.379032258064516,8.0,1,1.0,1.0,1.0,629.0,37.0,79.0,56.99999999999999,92.0,64.0,4.382026634673881,6.4457198193855785,9.591663046625438,1.1678455571486808
https://www.jombangkab.go.id/,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,45.052734375,77.0,96.0,92.0,65.0,4.356708826689592,6.958923565556536,9.591663046625438,0.917486315399732
https://www.kemdikbud.go.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,86.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.kemendag.go.id,1.0,1.0,5.0,1.0,5.0,0,0.0,0.0,7.0,0.0,7.379032258064516,14.0,1,1.0,1.0,1.0,1147.0,32.484375,79.234375,78.5,89.328125,28.0,4.384952039002987,7.045776576879511,9.451355722857965,1.1678455571486808
https://www.kemenkumham.go.id,1.0,1.0,6.0,1.0,2.0,0,0.0,3.0,2.0,10.0,2.0,1.0,1,1.0,1.0,1.0,1088.0,18.0,71.0,96.0,85.3203125,42.0,4.276666119016055,6.9930151229329605,9.236899506869175,0.7914539221291278
https://www.kemenparekraf.go.id,1.0,1.0,4.0,1.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,103.0,35.0,82.0,79.0,92.0,77.0,4.418840607796598,4.6443908991413725,9.591663046625438,0.0
https://www.kemensos.go.id,1.0,1.0,3.0,1.0,20.0,0,0.0,5.0,0.0,43.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,20.0,75.0,89.0,92.0,37.0,4.330733340286331,7.599901959208498,9.591663046625438,0.0
https://www.kemkes.go.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,38.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.kkp.go.id,1.0,1.0,5.0,1.0,1.0,0,5.0,0.0,2.0,0.0,0.0,0.0,1,1.0,1.0,1.0,709.0,32.0,74.0,96.0,91.0,44.0,4.31748811353631,6.565264970035361,9.539392014169456,0.0
https://www.liputan6.com,1.0,1.0,10.0,6.0,10.0,1,1.0,4.0,10.0,86.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,23.0,85.0,50.0,92.0,61.0,4.454347296253507,7.599901959208498,9.591663046625438,0.0
https://www.matahari.com,1.0,1.0,9.0,1.0,1.0,1,0.0,0.0,16.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,19.0,70.25,68.0,85.3203125,78.0,4.26619481914876,7.599901959208498,9.236899506869175,0.0
https://www.pertanian.go.id,1.0,1.0,3.0,1.0,1.0,0,0.0,3.0,4.0,38.0,1.0,1.0,1,1.0,1.0,1.0,834.0,32.484375,79.234375,78.5,89.328125,66.0,4.384952039002987,6.727431724850855,9.451355722857965,0.5609757981258847
https://www.pu.go.id,0.8870967741935484,0.9193548387096774,4.645161290322581,2.8870967741935485,5.209677419354839,0,1.4193548387096775,7.016129032258065,19.225806451612904,13.85483870967742,2.9516129032258065,1.564516129032258,0,1.0,1.0,1.0,1051.5,32.484375,79.234375,78.5,89.328125,70.0,4.384952039002987,6.958923565556536,9.451355722857965,0.917486315399732
https://www.republika.co.id,1.0,1.0,1.0,4.0,5.0,1,1.0,5.0,73.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1997.0,39.0,74.0,54.0,92.0,61.0,4.31748811353631,7.599901959208498,9.591663046625438,0.0
https://www.rspondokindah.co.id,1.0,1.0,9.0,4.0,1.0,1,0.0,6.0,30.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1565.0,45.052734375,78.0,96.0,92.0,61.0,4.3694478524670215,7.356279876550748,9.591663046625438,0.0
